INFO:root:Epoch 0/24
INFO:root:----------
INFO:root:class_loss: 0.013952740468084812, open_set_loss: 0.00016410928219556808
INFO:root:class_loss: 0.011118104681372643, open_set_loss: 0.00017166510224342346
INFO:root:class_loss: 0.013847931288182735, open_set_loss: 0.00015918444842100143
INFO:root:class_loss: 0.0006313415360637009, open_set_loss: 0.0001562032848596573
INFO:root:class_loss: 0.00048111967043951154, open_set_loss: 0.00016736425459384918
INFO:root:class_loss: 0.016801871359348297, open_set_loss: 0.00015782006084918976
INFO:root:class_loss: 0.00612274557352066, open_set_loss: 0.0001686587929725647
INFO:root:class_loss: 0.0017514798091724515, open_set_loss: 0.0001623593270778656
INFO:root:class_loss: 0.003906260244548321, open_set_loss: 0.0001648562029004097
INFO:root:class_loss: 0.01755347102880478, open_set_loss: 0.00016113277524709702
INFO:root:class_loss: 0.001688354997895658, open_set_loss: 0.00016553061141166836
INFO:root:train Loss: 0.0004 Acc: 0.9973
INFO:root:class_loss: 0.008251144550740719, open_set_loss: 0.00017607305198907852
INFO:root:class_loss: 0.004215527791529894, open_set_loss: 0.00017610378563404083
INFO:root:class_loss: 0.002243155613541603, open_set_loss: 0.00017746537923812866
INFO:root:class_loss: 0.003476780140772462, open_set_loss: 0.00017432868480682373
INFO:root:class_loss: 0.0006289226585067809, open_set_loss: 0.00017727725207805634
INFO:root:class_loss: 0.00480711879208684, open_set_loss: 0.00017797108739614487
INFO:root:class_loss: 0.004312408622354269, open_set_loss: 0.0001772511750459671
INFO:root:class_loss: 0.006914668250828981, open_set_loss: 0.00017889589071273804
INFO:root:class_loss: 0.0067251999862492085, open_set_loss: 0.00017833150923252106
INFO:root:class_loss: 0.0032149390317499638, open_set_loss: 0.00017884839326143265
INFO:root:class_loss: 0.0005856625502929091, open_set_loss: 0.0001754164695739746
INFO:root:class_loss: 0.00033682986395433545, open_set_loss: 0.00017985430895350873
INFO:root:val Loss: 0.0004 Acc: 0.9984
INFO:root:Epoch 5/24
INFO:root:----------
INFO:root:class_loss: 0.000858587387483567, open_set_loss: 0.0001533757895231247
INFO:root:class_loss: 0.0008341217180714011, open_set_loss: 0.00015210919082164764
INFO:root:class_loss: 0.002035357989370823, open_set_loss: 0.00015357322990894318
INFO:root:class_loss: 0.008460034616291523, open_set_loss: 0.00015140138566493988
INFO:root:class_loss: 0.0011557448888197541, open_set_loss: 0.0001489650458097458
